itemkey,itemvalue,itemlink,strict
AAA,"Authentication, Authorization, and Accounting","https://en.wikipedia.org/wiki/Authentication,_authorization,_and_accounting",true
AC,Alternating Current,https://en.wikipedia.org/wiki/Alternating_current,true
ACL,Access Control List,https://en.wikipedia.org/wiki/Access-control_list,true
ACPI,Advanced Configuration and Power Interface,https://en.wikipedia.org/wiki/ACPI,true
ADF,Automatic Document Feeder,https://en.wikipedia.org/wiki/Automatic_document_feeder,true
ADK,Assessment and Deployment Kit (Windows),https://en.wikipedia.org/wiki/Windows_Assessment_and_Deployment_Kit,false
AES,Advanced Encryption Standard,https://en.wikipedia.org/wiki/Advanced_Encryption_Standard,true
AFP,Apple Filing Protocol,https://en.wikipedia.org/wiki/Apple_Filing_Protocol,false
AGP,Accelerated Graphics Port,https://en.wikipedia.org/wiki/Accelerated_Graphics_Port,true
AIO,"All In One (a.k.a. MFP, MFD, e.g. printer-scanner-fax)",https://en.wikipedia.org/wiki/Multi-function_printer,false
AP,(Wireless) Access Point,https://en.wikipedia.org/wiki/Wireless_access_point,true
API,Application Programming Interface,https://en.wikipedia.org/wiki/API,true
APFS,Apple File System,https://en.wikipedia.org/wiki/Apple_File_System,true
APIPA,Automatic Private Internet Protocol Addressing (IPv4),https://en.wikipedia.org/wiki/Link-local_address,true
APK,Android Package Kit,https://en.wikipedia.org/wiki/Apk_(file_format),true
APN,Access Point Name (Android phone setting),https://en.wikipedia.org/wiki/Access_Point_Name,false
ARM,Advanced RISC Machine,https://en.wikipedia.org/wiki/ARM_architecture_family,true
ARP,Address Resolution Protocol,https://en.wikipedia.org/wiki/Address_Resolution_Protocol,true
ASCII,American Standard Code for Information Interchange,https://en.wikipedia.org/wiki/ASCII,false
ATA,Advanced Technology Attachment,https://en.wikipedia.org/wiki/Parallel_ATA,true
ATM,Asynchronous Transfer Mode,https://en.wikipedia.org/wiki/Asynchronous_Transfer_Mode,true
ATX,Advanced Technology EXtended,https://en.wikipedia.org/wiki/ATX,true
AUP,Acceptable Use Policy,https://en.wikipedia.org/wiki/Acceptable_use_policy,true
AV,Antivirus,https://en.wikipedia.org/wiki/Antivirus_software,true
BCD,Boot Configuration Data (Windows),https://en.wikipedia.org/wiki/Windows_Boot_Manager#Boot_Configuration_Data,false
BD-ROM,Blu-ray Disc-Read-Only Memory,https://en.wikipedia.org/wiki/Blu-ray,false
BIOS,Basic Input/Output System,https://en.wikipedia.org/wiki/BIOS,true
BSOD,Blue Screen of Death,https://en.wikipedia.org/wiki/Blue_screen_of_death,true
BYOD,Bring Your Own Device,https://en.wikipedia.org/wiki/Bring_your_own_device,true
CA,Certificate Authority (DNS),https://en.wikipedia.org/wiki/Certificate_authority,true
CaaS,Containers as a Service,https://www.docker.com/blog/containers-as-a-service-caas/,true
CAD,Computer-aided Design,https://en.wikipedia.org/wiki/Computer-aided_design,true
CAM,Computer-Aided Manufacturing,https://en.wikipedia.org/wiki/Computer-aided_manufacturing,false
CAPTCHA,Completely Automated Public Turing test to tell Computers and Humans Apart,https://en.wikipedia.org/wiki/CAPTCHA,true
CCMP,Counter Mode CBC-MAC Protocol (WPA2),https://en.wikipedia.org/wiki/CCMP_(cryptography),false
CCTV,Closed Circuit Television,https://en.wikipedia.org/wiki/Closed-circuit_television,false
CD,Compact Disc,https://en.wikipedia.org/wiki/Compact_disc,true
CDFS,Compact Disc File System,https://en.wikipedia.org/wiki/Compact_Disc_File_System,true
CD-ROM,Compact Disc-Read-Only Memory,https://en.wikipedia.org/wiki/CD-ROM,true
CD-RW,Compact Disc-Rewritable,https://en.wikipedia.org/wiki/CD-RW,false
CDMA,Code-Division Multiple Access,https://en.wikipedia.org/wiki/Code-division_multiple_access,true
CERT,Computer Emergency Response Team,https://en.wikipedia.org/wiki/Computer_emergency_response_team,true
CIA,"Confidentiality, Integrity, and Availability",https://en.wikipedia.org/wiki/Information_security#CIA_triad,false
CIFS,Common Internet File System (Microsoft ≈ SMB 1.0),https://en.wikipedia.org/wiki/Server_Message_Block,true
CMD,Command Prompt (Windows),https://en.wikipedia.org/wiki/Cmd.exe,true
CMOS,Complementary Metal-Oxide Semiconductor,https://en.wikipedia.org/wiki/CMOS,true
CNAME,Canonical Name (DNS),https://en.wikipedia.org/wiki/CNAME_record,true
CNR,Communications and Networking Riser (outdated),https://en.wikipedia.org/wiki/Communications_and_networking_riser,false
CPU,Central Processing Unit,https://en.wikipedia.org/wiki/Central_processing_unit,true
CRL,Certificate Revocation List,https://en.wikipedia.org/wiki/Certificate_revocation_list,true
CRUD,"Create, Read, Update, Delete","https://en.wikipedia.org/wiki/Create,_read,_update_and_delete",false
CSS,Cascading Style Sheets,https://en.wikipedia.org/wiki/CSS,false
CVE,Common Vulnerabilities and Exposures,https://en.wikipedia.org/wiki/Common_Vulnerabilities_and_Exposures,false
DaaS,Data as a Service,https://en.wikipedia.org/wiki/Data_as_a_service,true
DBaaS,Database as a Service,https://en.wikipedia.org/wiki/Cloud_database,true
