itemkey,itemvalue,itemlink
tcp/20,FTP data port,https://en.wikipedia.org/wiki/File_Transfer_Protocol#Communication_and_data_transfer
tcp/21,FTP control port,https://en.wikipedia.org/wiki/File_Transfer_Protocol#Communication_and_data_transfer
tcp/22,SSH port,https://en.wikipedia.org/wiki/Secure_Shell#Architecture
tcp/23,Telnet port,https://en.wikipedia.org/wiki/Telnet#Description
tcp/25,SMTP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/udp/49,TACACS port,https://en.wikipedia.org/wiki/TACACS#TACACS
udp/53,DNS port,https://en.wikipedia.org/wiki/Domain_Name_System#Transport_protocols
udp/67,DHCP Discover and Request (broadcast) port,https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol#Operation
udp/68,DHCP Offer and Acknowledge (broadcast) port,https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol#Operation
udp/69,TFTP port,https://en.wikipedia.org/wiki/Trivial_File_Transfer_Protocol#Overview
tcp/80,HTTP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/110,POP3 port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
udp/123,NTP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/137,NetBIOS name services port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
udp/138,NetBIOS datagram services port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/139,NetBIOS session services port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/143,IMAP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
udp/161,SNMP queries port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
udp/162,SNMP traps port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/179,BGP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/389,LDAP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/443,HTTPS port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/445,SMB port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
udp/514,Syslog port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/587,SMTPS (SMTP over TLS) port (prefer 465),https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/636,LDAPS port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
tcp/1433,MS-SQL port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
tcp/3389,RDP (Windows) port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
udp/4789,VXLAN port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
udp/5004,VoIP (RTP) port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
tcp/5060,SIP port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
tcp/5061,SIP over TLS port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
tcp/5900,RFB (VNC) port,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
BGP port,tcp/179,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
DHCP Discover and Request (broadcast) port,udp/67,https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol#Operation
DHCP Offer and Acknowledge (broadcast) port,udp/68,https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol#Operation
DNS port,udp/53,https://en.wikipedia.org/wiki/Domain_Name_System#Transport_protocols
FTP control port,tcp/21,https://en.wikipedia.org/wiki/File_Transfer_Protocol#Communication_and_data_transfer
FTP data port,tcp/20,https://en.wikipedia.org/wiki/File_Transfer_Protocol#Communication_and_data_transfer
HTTP port,tcp/80,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
HTTPS port,tcp/443,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
IMAP port,tcp/143,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
LDAP port,tcp/389,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
LDAPS port,tcp/636,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
MS-SQL port,tcp/1433,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
NetBIOS datagram services port,tcp/138,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
NetBIOS name services port,tcp/137,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
NetBIOS session services port,tcp/139,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
NTP port,udp/123,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
POP3 port,tcp/110,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
RDP (Windows) port,tcp/3389,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
RFB (VNC) port,tcp/5900,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
SIP port,tcp/5060,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
SIP over TLS port,tcp/5061,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
SMB port,tcp/445,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
SMTP port,tcp/25,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
SMTPS (SMTP over TLS) port,tcp/587,https://en.wikipedia.org/wiki/SMTPS
SNMP queries port,udp/161,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
SNMP traps port,udp/162,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
SSH port,tcp/22,https://en.wikipedia.org/wiki/Secure_Shell#Architecture
Syslog port,udp/514,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Well-known_ports
TACACS port,tcp/udp/49,https://en.wikipedia.org/wiki/TACACS#TACACS
Telnet port,tcp/23,https://en.wikipedia.org/wiki/Telnet#Description
TFTP port,udp/69,https://en.wikipedia.org/wiki/Trivial_File_Transfer_Protocol#Overview
VoIP (RTP) port,udp/5004,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
VXLAN port,udp/4789,https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers#Registered_ports
